id,nom,prenom,groupe,prob_avant,prob_apres,reduction,sorti_zone_rouge
296,Idriss,Farid,Intervention,73.2,74.5,-1.3,False
221,Mht Rozzi,Bintou,Intervention,73.2,37.6,35.6,True
460,Koumakoy,Paul,Témoin,73.0,73.0,0.0,False
366,Nadege,Abdelkerim,Intervention,72.9,44.3,28.6,True
427,Kebir,Julie,Intervention,72.4,31.4,41.0,True
179,Saleh,Monique,Témoin,71.6,71.6,0.0,False
267,Ngaradoum,Khalid,Témoin,71.3,71.3,0.0,False
433,Oumar,Haroun,Témoin,71.0,71.0,0.0,False
121,Issa Bechir,Halimé,Intervention,70.0,23.7,46.3,True
452,Ndolenodji,Fatahaldjelil,Témoin,68.5,68.5,0.0,False
6,Hillo,Haoua,Témoin,68.1,68.1,0.0,False
298,Laoukein,Suleiman,Intervention,67.9,37.5,30.5,True
132,Togombaye,Seid,Intervention,67.6,9.4,58.2,True
206,Magloire,Sandrine,Intervention,67.0,8.2,58.8,True
197,George,Youssouf,Intervention,67.0,26.9,40.1,True
435,Christian,Donatien,Témoin,65.7,65.7,0.0,False
222,Bakhit,Narcisse,Témoin,65.6,65.6,0.0,False
