id,nom,prenom,age,sexe,filiere,moyenne_sem1,moyenne_sem2,absences,connexions_lms,devoirs_rendus,taux_presence,prob_decrochage,prob_diplome,niveau_risque,facteur_principal,abandon
237,Ngarmadji,Jean,18,M,telecom,6.0,6.6,15,4,3,39,88.5%,0.0%,ÉLEVÉ 🔴,ratio_absence_connexion,Décrochage
500,N'djiaye,Aristide,23,M,mtic,4.1,7.7,12,12,3,32,88.5%,0.0%,ÉLEVÉ 🔴,score_risque,Décrochage
75,Tahir,Sadia,20,F,telecom,7.9,2.0,14,3,0,25,88.5%,0.0%,ÉLEVÉ 🔴,ratio_absence_connexion,Décrochage
97,Hassaballah,Marie,18,F,info,4.6,5.6,16,0,0,40,88.5%,0.0%,ÉLEVÉ 🔴,ratio_absence_connexion,Décrochage
87,Mbodou,Symphorien,20,M,info,5.8,7.0,12,13,2,57,88.1%,1.0%,ÉLEVÉ 🔴,ratio_absence_connexion,Décrochage
415,Babikir,Safiya,20,F,info,5.2,2.0,18,0,0,33,87.5%,0.0%,ÉLEVÉ 🔴,ratio_absence_connexion,Décrochage
423,Aboulaye,Hassan,19,M,telecom,3.1,5.1,10,7,2,52,86.5%,1.1%,ÉLEVÉ 🔴,ratio_absence_connexion,Décrochage
62,Seid,Denise,18,F,telecom,6.7,2.0,15,0,0,50,86.1%,0.0%,ÉLEVÉ 🔴,ratio_absence_connexion,Décrochage
220,Gotran,Dalia,24,F,mtic,4.7,5.7,15,9,4,65,86.0%,1.0%,ÉLEVÉ 🔴,ratio_absence_connexion,Décrochage
379,Tidjani,Roukaya,18,F,info,8.3,8.5,11,15,3,46,86.0%,1.0%,ÉLEVÉ 🔴,score_risque,Décrochage
259,Adam,Marie,20,F,info,8.2,7.0,13,10,4,54,85.5%,0.0%,ÉLEVÉ 🔴,ratio_absence_connexion,Décrochage
233,Magloire,Abderahim,21,M,mtic,8.5,8.9,9,5,4,56,85.3%,1.0%,ÉLEVÉ 🔴,ratio_absence_connexion,Décrochage
219,Magloire,Jean,20,M,telecom,8.2,8.4,7,12,2,46,85.0%,1.0%,ÉLEVÉ 🔴,score_risque,Décrochage
256,Habib,Nadjia,21,F,info,5.1,8.6,13,11,4,50,84.8%,1.0%,ÉLEVÉ 🔴,ratio_absence_connexion,Décrochage
236,Brahim,Magloire,20,M,info,8.5,5.6,13,15,3,53,84.7%,1.0%,ÉLEVÉ 🔴,score_risque,Décrochage
394,Jean,Nadjia,22,F,info,10.1,7.9,12,16,1,57,84.4%,1.1%,ÉLEVÉ 🔴,score_risque,Décrochage
244,Hassan,Yacoub,18,M,info,6.6,6.2,10,14,2,64,84.2%,1.0%,ÉLEVÉ 🔴,score_risque,Décrochage
381,Abdeldjelil,Issa,18,M,telecom,9.2,10.8,12,15,3,63,84.2%,1.3%,ÉLEVÉ 🔴,ratio_absence_connexion,Décrochage
78,Mbaitigue,Halimé,20,F,info,5.4,10.6,18,9,1,40,83.2%,1.0%,ÉLEVÉ 🔴,ratio_absence_connexion,Décrochage
156,Aboulaye,Madeleine,20,F,telecom,7.8,6.8,15,12,5,50,83.0%,1.0%,ÉLEVÉ 🔴,ratio_absence_connexion,Décrochage
239,Ali,Lucie,23,F,info,6.7,5.1,9,15,4,37,82.9%,1.1%,ÉLEVÉ 🔴,score_risque,Décrochage
86,Abdelkerim,Haoua,22,F,telecom,5.1,9.5,13,9,3,71,82.8%,1.0%,ÉLEVÉ 🔴,ratio_absence_connexion,Décrochage
254,Hillo,Serge,20,M,mtic,8.8,3.2,12,16,1,52,82.8%,1.1%,ÉLEVÉ 🔴,score_risque,Décrochage
74,Abdelkerim,Valentin,18,M,telecom,7.2,5.2,13,4,2,57,82.8%,0.0%,ÉLEVÉ 🔴,ratio_absence_connexion,Décrochage
29,Mbaitigue,Rahel,18,F,info,7.0,8.1,11,3,3,58,81.9%,1.1%,ÉLEVÉ 🔴,ratio_absence_connexion,Décrochage
357,Magloire,Fatouma,23,F,info,6.3,3.2,14,13,0,47,81.8%,1.1%,ÉLEVÉ 🔴,ratio_absence_connexion,Décrochage
36,Djimet,Evariste,18,M,info,8.3,8.1,14,3,4,46,81.4%,0.0%,ÉLEVÉ 🔴,ratio_absence_connexion,Décrochage
135,Brahim,Aristide,18,M,info,6.0,7.8,10,7,1,43,81.3%,1.1%,ÉLEVÉ 🔴,ratio_absence_connexion,Décrochage
383,George,Esther,20,F,mtic,7.1,7.1,9,13,2,67,81.3%,1.1%,ÉLEVÉ 🔴,score_risque,Décrochage
425,Brahim,Odette,19,F,telecom,6.1,6.1,11,8,5,52,81.3%,0.0%,ÉLEVÉ 🔴,ratio_absence_connexion,Inscrit
447,Dillah,Khadidja,22,F,telecom,8.9,5.2,18,6,2,39,80.8%,0.0%,ÉLEVÉ 🔴,ratio_absence_connexion,Décrochage
39,Zakaria,Issa,22,M,mtic,6.1,9.9,8,7,4,28,80.4%,1.1%,ÉLEVÉ 🔴,ratio_absence_connexion,Décrochage
388,Mallah,Sandrine,23,F,mtic,8.7,9.8,11,4,4,60,80.3%,1.1%,ÉLEVÉ 🔴,ratio_absence_connexion,Inscrit
489,Abakar Ali,Edith,23,F,telecom,7.5,9.6,14,15,4,34,80.3%,1.1%,ÉLEVÉ 🔴,score_risque,Décrochage
164,Hamid,Zeinab,24,F,telecom,5.4,9.8,12,15,3,42,80.1%,1.1%,ÉLEVÉ 🔴,score_risque,Décrochage
53,Christian,Faozzia,24,F,mtic,5.9,5.5,15,6,6,59,80.0%,1.1%,ÉLEVÉ 🔴,ratio_absence_connexion,Décrochage
151,Kodji,Appolinaire,19,M,telecom,4.8,9.1,9,9,4,68,79.8%,1.0%,ÉLEVÉ 🔴,ratio_absence_connexion,Décrochage
498,Kerallah,Abdelkerim,21,M,telecom,2.5,4.4,18,13,3,55,79.5%,0.0%,ÉLEVÉ 🔴,ratio_absence_connexion,Décrochage
293,Khidir,Christine,20,F,telecom,5.3,6.2,14,18,1,41,79.3%,0.8%,ÉLEVÉ 🔴,score_risque,Décrochage
253,Mbodou,Serge,24,M,mtic,10.0,7.1,16,13,2,39,79.0%,1.1%,ÉLEVÉ 🔴,ratio_absence_connexion,Décrochage
496,Issa,Zakaria,24,M,info,9.6,6.9,7,16,1,53,78.9%,1.0%,ÉLEVÉ 🔴,score_risque,Décrochage
52,Moussa,Ali,19,M,info,10.3,6.2,14,7,4,43,78.9%,1.1%,ÉLEVÉ 🔴,ratio_absence_connexion,Décrochage
70,Fatahaldjelil,Amne,19,F,telecom,8.4,9.5,12,22,2,52,77.1%,1.1%,ÉLEVÉ 🔴,score_risque,Décrochage
67,Seid,Hillo,20,M,mtic,5.3,8.3,11,14,3,50,76.9%,1.1%,ÉLEVÉ 🔴,score_risque,Décrochage
68,Hassaballah,Zara,20,F,info,8.6,9.9,9,15,4,52,76.9%,1.1%,ÉLEVÉ 🔴,score_risque,Décrochage
109,Oumar,Bintou,18,F,telecom,10.3,8.0,17,15,5,42,76.8%,1.1%,ÉLEVÉ 🔴,ratio_absence_connexion,Décrochage
369,Saad,Djibrine,23,M,mtic,8.0,7.1,15,18,3,51,76.4%,1.1%,ÉLEVÉ 🔴,score_risque,Décrochage
322,Mallah,Mariam,18,F,telecom,10.0,6.2,12,13,2,47,76.0%,1.1%,ÉLEVÉ 🔴,ratio_absence_connexion,Décrochage
424,Abderahim,Hillo,23,M,info,8.1,10.7,13,12,2,63,75.9%,1.1%,ÉLEVÉ 🔴,ratio_absence_connexion,Inscrit
3,Mbaitolum,Chakir,24,M,info,6.0,3.1,13,7,2,48,75.5%,0.0%,ÉLEVÉ 🔴,ratio_absence_connexion,Décrochage
368,Abakar Ali,Franck,22,M,telecom,8.7,8.1,11,13,3,65,75.4%,1.3%,ÉLEVÉ 🔴,ratio_absence_connexion,Décrochage
430,Ahmat,Symphorien,24,M,mtic,9.9,2.6,11,12,3,47,75.3%,1.1%,ÉLEVÉ 🔴,score_risque,Décrochage
473,Youssouf,Bernadette,18,F,telecom,8.9,11.3,9,14,5,50,75.1%,8.8%,ÉLEVÉ 🔴,score_risque,Décrochage
83,Mht Goni,Halimé,24,F,info,5.4,9.7,10,15,1,70,75.0%,3.8%,ÉLEVÉ 🔴,score_risque,Inscrit
161,Dillah,Luc,21,M,mtic,6.9,2.3,15,7,2,51,73.8%,0.0%,ÉLEVÉ 🔴,ratio_absence_connexion,Décrochage
11,Saad,Celine,23,F,mtic,9.1,3.2,15,8,3,45,73.8%,0.0%,ÉLEVÉ 🔴,ratio_absence_connexion,Décrochage
129,Ngakoutou,Saleh,19,M,mtic,8.6,8.6,14,17,3,49,73.4%,1.0%,ÉLEVÉ 🔴,score_risque,Décrochage
221,Mht Rozzi,Bintou,22,F,mtic,6.1,7.9,8,15,2,47,73.2%,1.0%,ÉLEVÉ 🔴,score_risque,Décrochage
296,Idriss,Farid,19,M,info,5.2,2.9,15,8,1,51,73.2%,0.0%,ÉLEVÉ 🔴,ratio_absence_connexion,Inscrit
460,Koumakoy,Paul,20,M,mtic,9.1,9.8,6,17,3,49,73.0%,6.1%,ÉLEVÉ 🔴,score_risque,Décrochage
366,Nadege,Abdelkerim,20,M,info,10.0,11.0,15,14,2,50,72.9%,1.1%,ÉLEVÉ 🔴,ratio_absence_connexion,Décrochage
427,Kebir,Julie,20,F,info,6.8,8.0,14,17,4,57,72.4%,0.9%,ÉLEVÉ 🔴,score_risque,Décrochage
179,Saleh,Monique,18,F,info,6.9,5.8,15,16,6,51,71.6%,1.0%,ÉLEVÉ 🔴,ratio_absence_connexion,Décrochage
267,Ngaradoum,Khalid,23,M,telecom,7.1,6.7,16,15,4,58,71.3%,1.1%,ÉLEVÉ 🔴,ratio_absence_connexion,Inscrit
433,Oumar,Haroun,20,M,telecom,10.7,9.4,13,11,2,62,71.0%,7.1%,ÉLEVÉ 🔴,ratio_absence_connexion,Décrochage
121,Issa Bechir,Halimé,23,F,info,5.6,12.2,10,13,3,47,70.0%,3.9%,ÉLEVÉ 🔴,score_risque,Décrochage
452,Ndolenodji,Fatahaldjelil,19,M,info,10.4,2.7,12,9,3,50,68.5%,1.0%,ÉLEVÉ 🔴,ratio_absence_connexion,Décrochage
6,Hillo,Haoua,18,F,mtic,5.1,7.0,13,2,2,38,68.1%,0.0%,ÉLEVÉ 🔴,ratio_absence_connexion,Inscrit
298,Laoukein,Suleiman,22,M,mtic,3.8,5.7,12,19,2,43,67.9%,0.9%,ÉLEVÉ 🔴,score_risque,Décrochage
132,Togombaye,Seid,19,M,mtic,7.3,7.7,8,23,4,60,67.6%,3.0%,ÉLEVÉ 🔴,score_risque,Décrochage
197,George,Youssouf,22,M,telecom,6.2,10.3,16,15,2,53,67.0%,1.0%,ÉLEVÉ 🔴,ratio_absence_connexion,Décrochage
206,Magloire,Sandrine,21,F,mtic,9.1,9.4,9,22,3,58,67.0%,1.1%,ÉLEVÉ 🔴,score_risque,Décrochage
435,Christian,Donatien,20,M,info,10.0,6.1,10,13,5,65,65.7%,1.1%,ÉLEVÉ 🔴,ratio_absence_connexion,Décrochage
222,Bakhit,Narcisse,18,M,mtic,10.7,5.7,13,24,2,20,65.6%,1.2%,ÉLEVÉ 🔴,score_risque,Décrochage
