id,nom,prenom,age,sexe,filiere,bourse,frais_payes,moyenne_sem1,moyenne_sem2,note_examen,absences,retards,connexions_lms,devoirs_rendus,participation,taux_presence,abandon
120,Rahel,Inès,20,F,mtic,oui,oui,9.8,13.2,9.4,10,7,18,6,8,82,Diplômé
121,Issa Bechir,Halimé,23,F,info,oui,non,5.6,12.2,8.3,10,10,13,3,7,47,Décrochage
122,Laoukein,Grace,18,F,mtic,oui,non,12.6,11.3,13.0,8,6,20,5,9,81,Décrochage
123,Issa Bechir,Serge,19,M,info,oui,oui,5.7,10.1,4.0,11,10,12,2,4,46,Inscrit
124,Mbailaou,Pierre,18,M,info,oui,oui,6.7,4.9,8.8,15,13,11,2,0,38,Décrochage
125,Adoum,Nadjia,21,F,mtic,oui,oui,13.4,14.0,11.8,5,3,31,7,7,86,Diplômé
126,Aboulaye,Faustin,21,M,info,non,oui,14.1,15.2,17.7,7,4,30,8,9,94,Diplômé
127,Ngaradoum,Amne,20,F,telecom,non,non,10.7,14.0,13.0,6,5,22,7,10,68,Diplômé
128,Mht Rozzi,Sandrine,19,F,mtic,oui,oui,12.8,13.5,12.0,3,3,29,7,8,55,Inscrit
129,Ngakoutou,Saleh,19,M,mtic,oui,non,8.6,8.6,7.3,14,5,17,3,4,49,Décrochage
130,Djibrine,Saleh,23,M,telecom,non,oui,15.0,14.0,14.5,9,7,23,8,6,65,Diplômé
131,Khalid,Intissar,20,F,mtic,oui,oui,13.4,9.6,12.5,9,7,22,5,3,71,Diplômé
132,Togombaye,Seid,19,M,mtic,non,non,7.3,7.7,8.5,8,8,23,4,2,60,Décrochage
133,Saleh,Djamila,21,F,telecom,oui,oui,10.3,9.8,7.2,15,10,17,2,4,43,Inscrit
134,Bichara,Nadège,18,F,info,non,oui,7.1,7.6,3.4,16,9,3,4,4,35,Décrochage
135,Brahim,Aristide,18,M,info,oui,non,6.0,7.8,10.5,10,10,7,1,2,43,Décrochage
136,Dangbe,Haroun,19,M,mtic,oui,non,7.7,11.8,7.8,12,7,18,6,7,50,Inscrit
137,Bachir,Sophie,22,F,info,non,non,9.2,9.7,9.8,10,10,13,5,3,42,Inscrit
138,Mbailaou,Grace,18,F,info,oui,oui,12.0,8.5,10.4,12,6,27,5,2,62,Diplômé
139,N'djiaye,Gontran,18,M,info,non,non,12.5,17.7,12.7,2,0,35,9,8,76,Diplômé
140,Laoukein,Hilaire,20,M,info,non,oui,12.1,14.2,17.2,3,2,40,9,10,89,Diplômé
141,Mht Goni,Aristide,18,M,telecom,non,oui,12.0,10.1,11.8,10,7,17,7,4,57,Inscrit
142,Youssouf,Babikir,20,M,mtic,oui,oui,13.1,13.7,13.7,9,9,19,5,4,65,Inscrit
143,Oueddei,Hilaire,24,M,telecom,oui,oui,13.0,13.2,14.0,10,5,30,6,8,83,Diplômé
144,Abderahim,Sylvie,23,F,telecom,non,oui,13.8,11.9,13.2,6,6,32,8,8,80,Diplômé
145,Naimbaye,Issakha,19,M,info,non,oui,11.0,16.8,14.0,6,1,29,8,10,67,Diplômé
146,Dillah,Nourdine,23,M,mtic,oui,non,12.9,14.5,10.0,1,4,33,7,9,73,Diplômé
147,Mht Goni,Jacques,23,M,info,oui,oui,10.0,13.0,8.2,11,8,21,4,4,65,Diplômé
148,Dangbe,Habib,18,M,telecom,oui,oui,11.0,14.3,13.1,4,3,32,6,8,74,Diplômé
149,Bakhit,Hassan,18,M,info,non,non,15.1,15.8,12.7,3,0,35,9,8,73,Diplômé
150,Adam,Mahamat,19,M,mtic,non,non,8.5,9.4,8.9,6,10,21,3,4,59,Inscrit
151,Kodji,Appolinaire,19,M,telecom,non,oui,4.8,9.1,8.9,9,8,9,4,5,68,Décrochage
152,Farid,Zeinab,23,F,telecom,non,oui,16.1,17.2,16.7,0,0,37,9,10,95,Diplômé
153,Guihini,Dalia,21,F,mtic,non,oui,5.2,5.1,3.0,19,12,30,8,0,25,Inscrit
154,Hassan,Esther,23,F,telecom,oui,non,3.2,4.1,8.6,14,12,2,0,1,41,Décrochage
155,Laoukein,Celine,18,F,telecom,oui,oui,2.6,4.1,8.4,16,13,0,0,0,39,Décrochage
156,Aboulaye,Madeleine,20,F,telecom,oui,oui,7.8,6.8,8.0,15,8,12,5,4,50,Décrochage
157,Hilaire,Hamid,22,M,telecom,oui,oui,8.6,11.3,11.2,9,7,20,7,5,60,Inscrit
158,Zakaria,Khadidja,24,F,mtic,non,non,10.2,11.5,11.1,9,8,20,5,6,61,Inscrit
159,Mbaitolum,Dalia,19,F,mtic,non,non,10.1,12.1,12.7,9,1,20,6,8,81,Inscrit
160,Nouradine,Pascaline,24,F,mtic,non,oui,2.6,6.0,4.8,15,13,14,3,1,45,Décrochage
161,Dillah,Luc,21,M,mtic,non,oui,6.9,2.3,5.7,15,12,7,2,2,51,Décrochage
162,Aboulaye,Rahel,19,F,info,oui,oui,17.1,17.9,14.4,2,2,30,9,10,79,Diplômé
163,Hassan,Zeinab,20,F,info,non,oui,9.0,5.5,7.6,11,9,34,7,6,58,Inscrit
164,Hamid,Zeinab,24,F,telecom,oui,oui,5.4,9.8,5.1,12,6,15,3,4,42,Décrochage
165,Kerallah,Faozzia,23,F,telecom,non,non,5.7,5.3,4.1,20,13,7,2,1,35,Décrochage
166,Abderahim,Abdelsalam,22,M,telecom,oui,oui,7.5,6.5,4.9,15,9,7,2,6,50,Décrochage
167,Mht Rozzi,Babikir,21,M,info,non,non,3.8,5.4,5.0,11,11,6,3,1,43,Décrochage
168,Ngakoutou,Jacques,22,M,info,non,oui,11.3,12.0,8.5,8,5,26,6,6,87,Diplômé
169,Tidjani,Djimet,19,M,mtic,non,oui,10.9,10.0,9.0,9,9,20,8,6,80,Diplômé
170,Bachir,Seid,19,M,telecom,oui,oui,13.3,16.4,16.1,9,4,39,8,9,78,Diplômé
171,Zakaria,Nasser,24,M,mtic,oui,oui,10.6,11.2,8.0,16,3,20,7,4,75,Inscrit
172,Chakir,Angele,20,F,telecom,oui,oui,11.4,10.4,10.6,6,5,17,6,7,68,Inscrit
173,Khidir,Narcisse,20,M,mtic,oui,oui,9.2,11.1,7.6,8,5,26,6,4,56,Diplômé
174,Nour,Abakar,23,M,telecom,oui,oui,4.9,4.2,5.4,17,13,2,0,1,24,Décrochage
175,N'djiaye,Seid,21,M,info,oui,oui,12.6,17.1,12.8,4,5,28,8,9,80,Diplômé
176,Djimet,Rahel,18,F,mtic,non,non,11.8,11.6,14.2,7,7,28,5,7,80,Décrochage
177,Nadege,Ahmat,21,M,mtic,non,oui,9.5,9.1,11.6,7,8,27,7,7,70,Inscrit
178,Guihini,Rebecca,18,F,mtic,oui,oui,18.5,11.6,17.1,5,2,28,8,7,79,Diplômé
179,Saleh,Monique,18,F,info,non,oui,6.9,5.8,11.7,15,9,16,6,2,51,Décrochage
180,Nouradine,Abderahim,19,M,mtic,non,non,4.0,3.7,3.1,19,13,3,1,3,32,Décrochage
181,Hassan,Sylvestre,21,M,telecom,non,non,2.0,6.1,2.2,12,14,7,2,2,31,Décrochage
182,Mbodou,Fatouma,19,F,telecom,non,non,4.1,3.2,7.7,15,13,4,1,0,21,Décrochage
183,Zakaria,Anne,21,F,telecom,non,oui,7.7,6.9,5.1,12,11,31,8,0,44,Inscrit
184,Massang,Halimé,22,F,info,oui,oui,10.6,12.2,15.4,12,3,32,4,7,74,Diplômé
185,Haroun,Seid,18,M,info,non,oui,11.5,9.5,8.7,10,6,24,4,6,74,Inscrit
186,Idriss,Intissar,22,F,mtic,non,oui,6.0,8.7,8.9,10,9,7,2,4,48,Diplômé
187,Gotran,Nourdine,22,M,telecom,non,oui,13.4,16.4,13.5,6,2,28,8,6,83,Diplômé
188,Kodji,Ahmat,20,M,info,oui,non,16.6,18.3,16.5,3,2,34,8,7,80,Inscrit
189,Seid,Faustin,18,M,info,non,oui,14.7,6.6,10.7,10,5,20,6,6,68,Inscrit
190,Issa,Mariam,21,F,info,oui,oui,13.2,11.9,14.4,4,7,26,9,10,82,Diplômé
191,Issa,Appolinaire,24,M,mtic,oui,non,15.0,14.6,17.3,1,2,38,8,8,75,Diplômé
192,Chabadine,Sophie,18,F,mtic,oui,non,16.5,15.6,14.4,3,4,34,8,8,86,Diplômé
193,Djibrine,Odette,18,F,info,non,oui,8.4,10.4,13.8,6,8,21,6,7,70,Inscrit
194,Babikir,Angele,21,F,info,non,oui,16.6,14.8,16.5,6,2,31,10,8,71,Diplômé
195,Ngakoutou,Djimet,20,M,info,non,oui,8.1,9.4,5.3,16,8,10,3,3,62,Décrochage
196,Nourdine,Babikir,20,M,telecom,non,oui,9.8,12.3,10.4,5,5,33,5,7,86,Diplômé
197,George,Youssouf,22,M,telecom,non,non,6.2,10.3,6.3,16,11,15,2,5,53,Décrochage
198,Mht Goni,Babikir,24,M,telecom,non,non,14.1,12.7,14.0,4,9,27,5,8,99,Diplômé
199,Mbailaou,Yasmin,20,F,mtic,oui,oui,2.7,2.0,4.0,15,11,0,0,2,33,Décrochage
200,Bakhit,Symphorien,19,M,telecom,oui,oui,8.0,11.2,9.0,13,10,28,7,7,75,Inscrit
201,George,Nour,24,M,info,non,oui,5.9,4.9,10.8,15,10,9,1,2,28,Décrochage
202,Togombaye,Rodrigue,24,M,telecom,oui,oui,6.4,7.5,3.4,11,10,24,4,2,48,Inscrit
203,Issa Bechir,Sylvestre,21,M,mtic,oui,oui,8.2,11.6,7.7,8,8,20,4,3,67,Inscrit
204,Oumar,Madeleine,20,F,telecom,non,oui,13.2,14.6,15.4,2,1,36,10,7,81,Diplômé
205,Oueddei,Bernadette,24,F,info,non,oui,18.5,18.5,16.6,0,0,33,10,10,94,Diplômé
206,Magloire,Sandrine,21,F,mtic,non,oui,9.1,9.4,10.7,9,9,22,3,3,58,Décrochage
207,Kebir,Tahir,23,M,info,oui,oui,15.3,13.9,13.5,5,7,38,10,9,76,Diplômé
208,Issa,Monique,19,F,info,non,non,8.4,13.8,9.1,6,4,32,6,8,54,Diplômé
209,Alifei,Mahmat,21,M,info,oui,non,14.8,11.1,12.5,3,2,28,9,9,88,Diplômé
210,Hamid,Faustin,18,M,info,non,oui,13.3,12.7,13.8,9,7,16,6,6,60,Diplômé
211,Ngaradoum,Issa,18,M,mtic,non,oui,13.3,12.5,11.8,4,5,26,6,6,56,Diplômé
212,Issa Bechir,Odette,21,F,mtic,oui,oui,11.1,8.9,14.0,8,8,12,5,7,65,Diplômé
213,Oumar,Nasser,24,M,info,non,non,4.5,2.0,4.3,16,11,0,0,1,24,Décrochage
214,Ngakoutou,Yacoub,24,M,mtic,oui,oui,7.0,6.1,4.0,17,12,15,3,0,36,Décrochage
215,Ngakoutou,Faozzia,24,F,info,non,oui,6.4,4.5,5.7,19,7,10,0,4,35,Décrochage
216,Tidjani,Rahel,19,F,info,oui,oui,9.7,16.4,10.1,9,5,31,5,6,84,Diplômé
217,Guihini,Idriss,22,M,info,non,non,13.2,13.9,7.4,7,6,28,6,7,82,Inscrit
218,Abakar Hassan,Mariam,20,F,mtic,non,oui,17.0,15.3,12.3,4,2,40,10,9,74,Diplômé
219,Magloire,Jean,20,M,telecom,oui,oui,8.2,8.4,3.5,7,10,12,2,2,46,Décrochage
220,Gotran,Dalia,24,F,mtic,non,oui,4.7,5.7,2.7,15,11,9,4,3,65,Décrochage
221,Mht Rozzi,Bintou,22,F,mtic,non,non,6.1,7.9,8.7,8,8,15,2,5,47,Décrochage
222,Bakhit,Narcisse,18,M,mtic,non,oui,10.7,5.7,7.5,13,10,24,2,4,20,Décrochage
223,Djibrine,Safia,23,F,telecom,non,non,12.8,14.7,17.1,1,2,33,8,10,82,Décrochage
224,Fatahaldjelil,Brahim,23,M,mtic,oui,non,18.5,15.9,12.4,6,0,35,10,8,76,Diplômé
225,Mallah,Farid,18,M,telecom,non,oui,13.4,11.0,9.2,9,6,18,6,5,71,Décrochage
226,Chabadine,Mahamat,19,M,telecom,oui,oui,11.6,8.1,12.2,16,10,11,4,4,61,Inscrit
227,Khidir,Bernadette,22,F,info,non,non,8.0,4.9,9.3,12,11,7,2,3,46,Inscrit
228,Magloire,Brahim,21,M,telecom,oui,oui,6.8,6.6,8.1,13,9,13,4,2,43,Inscrit
229,Mahamat,Celine,19,F,mtic,oui,oui,6.2,14.6,15.3,9,5,17,7,4,36,Décrochage
230,Abdeldjelil,Halima,24,F,telecom,oui,oui,16.2,13.2,12.8,7,5,36,9,8,67,Diplômé
231,Nouradine,Sylvestre,19,M,telecom,non,oui,13.4,16.3,12.3,7,4,35,9,8,77,Diplômé
232,Chabadine,Yacoub,19,M,telecom,non,oui,12.5,13.5,9.2,4,5,40,9,10,72,Diplômé
233,Magloire,Abderahim,21,M,mtic,non,oui,8.5,8.9,8.4,9,5,5,4,4,56,Décrochage
234,Adam,Prisca,24,F,telecom,non,non,12.5,10.7,14.7,6,5,25,6,6,84,Diplômé
235,Ahmat,Amina,24,F,info,oui,oui,8.4,10.3,8.9,12,7,18,4,6,66,Inscrit
236,Brahim,Magloire,20,M,info,non,non,8.5,5.6,2.0,13,9,15,3,4,53,Décrochage
237,Ngarmadji,Jean,18,M,telecom,oui,oui,6.0,6.6,2.0,15,14,4,3,0,39,Décrochage
238,Chakir,Prisca,20,F,telecom,oui,oui,11.8,12.0,6.8,4,9,34,8,6,70,Diplômé
239,Ali,Lucie,23,F,info,non,non,6.7,5.1,6.5,9,8,15,4,3,37,Décrochage
240,Zakaria,Hilaire,22,M,telecom,non,oui,9.5,11.7,10.8,3,4,24,9,7,73,Inscrit
241,Lossimian,Grace,22,F,telecom,oui,oui,10.7,8.9,8.5,4,4,23,7,5,76,Diplômé
242,Moussa,Rebecca,24,F,mtic,oui,oui,8.6,11.6,9.5,11,7,17,8,7,73,Inscrit
243,Brahim,Sadia,24,F,telecom,non,non,12.2,14.4,16.3,2,7,28,6,7,89,Diplômé
244,Hassan,Yacoub,18,M,info,oui,non,6.6,6.2,6.6,10,10,14,2,3,64,Décrochage
245,Nouradine,Barnabé,20,M,info,non,oui,11.2,10.4,11.3,10,6,22,6,7,64,Diplômé
246,Mbailaou,Habib,21,M,mtic,non,non,7.6,11.5,7.9,15,9,20,6,2,53,Inscrit
247,Khalid,Faozzia,18,F,telecom,oui,oui,12.4,10.3,12.5,6,4,23,5,4,64,Inscrit
248,Nour,Khadidja,22,F,telecom,oui,non,11.3,6.1,8.9,10,4,12,5,5,58,Inscrit
249,Gotran,Saleh,21,M,mtic,non,non,12.5,12.0,11.7,6,8,32,8,7,82,Diplômé
250,Hassan,Rodrigue,19,M,mtic,oui,oui,11.7,13.8,7.3,6,7,27,4,4,68,Diplômé
